label,sentence
neutral,"Kannst du mir sagen, wo ich hier bin?"
neutral,Hast du schon lange hier gelebt?
neutral,Wie geht es dir heute?
neutral,Bist du oft in der Stadt unterwegs?
neutral,Was hältst du von den anderen Bewohnern hier?
neutral,Hast du einen Lieblingsplatz in der Nähe?
neutral,"Wissen die Dorfbewohner, dass du hier bist?"
neutral,"Hast du schon mal überlegt, woanders hinzuziehen?"
neutral,"Gibt es besondere Regeln, die ich hier kennen sollte?"
neutral,Hast du schon mal etwas über die Geschichte dieses Ortes gehört?
neutral,Ist das Wetter hier immer so wechselhaft?
neutral,Hast du eine Familie?
neutral,Wie lange bist du schon in diesem Dorf?
neutral,"Gibt es hier eine besondere Veranstaltung, auf die ich mich freuen kann?"
neutral,Hast du eine Empfehlung für ein gutes Geschäft hier?
neutral,"Hast du schon mal überlegt, einen anderen Beruf auszuüben?"
neutral,Was machst du in deiner Freizeit?
neutral,Hast du schon mal einen großen Handel abgeschlossen?
neutral,"Kannst du mir sagen, wo ich etwas zu essen bekommen kann?"
neutral,Hast du schon mal von einem geheimen Ort in der Nähe gehört?
neutral,Wie findest du die Landschaft hier?
neutral,Hast du schon mal Probleme mit anderen Bewohnern gehabt?
neutral,Bist du hier geboren oder zugezogen?
neutral,"Ist es schwer, hier neue Freunde zu finden?"
neutral,Hast du einen Tipp für ein gutes Restaurant hier?
unfreundlich,"Hey, du faules Stück Scheiße, zeig mir deine Waren!"
unfreundlich,Welcher minderwertige Kram hast du heute für mich?
unfreundlich,"Du nutzloser Bastard, beeil dich mit dem Handel!"
unfreundlich,"Verpiss dich, du elender Nichtsnutz!"
unfreundlich,"Ich schwöre, wenn deine Angebote nicht besser werden, brennt hier gleich alles ab!"
unfreundlich,"Sag mir endlich, was du zu bieten hast, du elender Taugenichts!"
unfreundlich,"Hast du überhaupt Gehirn, du verlauster Penner?"
unfreundlich,"Ich hab schon bessere Geschäfte mit einem toten Fisch gemacht, du Witzfigur!"
unfreundlich,"Du armseliges Stück Dreck, beeil dich gefälligst!"
unfreundlich,"Verkriech dich in deine Höhle, du erbärmlicher Versager!"
unfreundlich,"Ich wünschte, ich hätte nie mit dir gehandelt, du elender Schmarotzer!"
unfreundlich,Halt die Klappe und zeig mir endlich deine verdammten Waren!
unfreundlich,"Wenn dein Angebot nicht besser wird, landest du im nächsten Lavasee, verstanden?"
unfreundlich,"Du verdammter Blender, lass mich nicht länger warten!"
unfreundlich,"Du elender Schuft, mach schon mit dem Handel!"
unfreundlich,"Ich hab schon bessere Händler in einer Mülltonne gefunden, du Schande!"
unfreundlich,"Würdest du schneller arbeiten, wenn ich dir Feuer unterm Arsch mache, du Nichtsnutz?"
unfreundlich,"Zeig mir endlich was Anständiges, du armselige Kreatur!"
unfreundlich,"Ich hab dich satt, du erbärmlicher Wicht!"
unfreundlich,"Ich hätte mehr Intelligenz von einem Schwein erwartet, als von dir, du Versager!"
unfreundlich,Hör auf Zeit zu verschwenden und mach den verdammten Handel!
unfreundlich,"Du bist so nutzlos wie ein Kaktus in der Arktis, du Versager!"
unfreundlich,"Ich bin zu alt für diesen Mist, beeil dich gefälligst!"
unfreundlich,"Wenn du nicht gleich bessere Waren hast, werde ich hier alles demolieren, verstanden?"
unfreundlich,"Ich hab schon mehr Charme bei einer Gruppe Creepern gesehen als bei dir, du Lappen!"
sehr freundlich,Guten Tag lieber Villager! Wie geht es dir heute?
sehr freundlich,Schön dich zu sehen! Hast du neue Angebote für mich?
sehr freundlich,Hallo! Deine Handelsangebote sind immer super!
sehr freundlich,"Hey Villager, ich schätze deine Arbeit sehr!"
sehr freundlich,Hallo mein freundlicher Händler! Was gibt es Neues?
sehr freundlich,"Du machst deinen Job wirklich gut, Villager!"
sehr freundlich,Hallo! Deine Läden sind immer einen Besuch wert.
sehr freundlich,Guten Morgen! Hast du heute besondere Deals für mich?
sehr freundlich,Schön dich zu treffen! Deine Trades sind top!
sehr freundlich,Hey Villager! Deine freundliche Art ist echt erfrischend.
sehr freundlich,Guten Tag! Danke für deine großartigen Angebote!
sehr freundlich,Hallo mein fleißiger Händler! Ich freue mich auf den Handel.
sehr freundlich,Schön dich zu sehen! Deine Geschäfte sind immer fair.
sehr freundlich,Hallo! Ich schätze deine Handelsbereitschaft sehr.
sehr freundlich,Hey Villager! Deine Professionalität ist bewundernswert.
sehr freundlich,Guten Morgen! Deine Trades machen mich immer glücklich.
sehr freundlich,Hallo! Deine Auswahl an Waren ist wirklich beeindruckend.
sehr freundlich,"Hey, Villager! Danke, dass du immer so zuverlässig bist!"
sehr freundlich,Guten Tag! Ich bin gespannt auf deine neuen Angebote.
sehr freundlich,Hallo! Dein Lächeln hellt meinen Tag immer auf!
sehr freundlich,"Hey, Villager! Deine Handelsbereitschaft ist wirklich lobenswert."
sehr freundlich,Guten Morgen! Deine Trades sind immer fair und attraktiv.
sehr freundlich,Hallo! Deine Geduld beim Handeln ist bemerkenswert.
sehr freundlich,Schön dich zu sehen! Dein Service ist wirklich erstklassig.
sehr freundlich,"Hey, Villager! Ich schätze deine Ehrlichkeit beim Handeln."
neutral,Kannst du mir bei etwas helfen?
neutral,Wie lange bist du schon in diesem Dorf?
neutral,Ist hier in der Nähe eine Mine?
neutral,Hast du schon von der Legende des verlorenen Schatzes gehört?
neutral,Welche Pflanzen wachsen hier am besten?
neutral,Wie funktioniert das Handeln mit dir genau?
neutral,Hast du Geschwister?
neutral,Hast du einen Lieblingsplatz im Dorf?
neutral,Bist du schon einmal verreist?
neutral,Gibt es hier eine Bibliothek?
neutral,Wie wichtig ist dir Freundschaft?
neutral,Kannst du mir bei der Suche nach einem bestimmten Gegenstand helfen?
neutral,Welche Jahreszeit magst du am liebsten?
neutral,Hast du schon einmal einen Drachen gesehen?
neutral,Hast du eine Lieblingsspeise?
neutral,Wie findest du das Wetter heute?
neutral,Was hältst du von den Bauern im Dorf?
neutral,Hast du eine besondere Fähigkeit?
neutral,Welche Tiere leben hier in der Umgebung?
neutral,Hast du schon Pläne für die Zukunft?
neutral,Was denkst du über die aktuellen Handelspreise?
neutral,Wie verbringst du am liebsten deine Freizeit?
neutral,Was ist dein Lieblingsgeräusch?
neutral,Bist du ein Frühaufsteher oder ein Nachtmensch?
neutral,Kannst du mir etwas über die Geschichte dieses Dorfes erzählen?
unfreundlich,"Hey, du dämlicher Villager, zeig mir endlich deine Waren!"
unfreundlich,"Komm schon, du faules Stück Scheiße, beeil dich mit deinen Trades!"
unfreundlich,"Du nutzloser NPC, deine Preise sind lächerlich hoch!"
unfreundlich,"Verpiss dich, du verfluchter Dorfbewohner, ich will deine Sachen sehen!"
unfreundlich,Halt dein verdammtes Maul und zeig mir deine verflixten Angebote!
unfreundlich,"Du elender Bastard, deine Handelswaren sind absolut nutzlos!"
unfreundlich,"Hey, du hirnloses Stück Dreck, zeig mir was Vernünftiges!"
unfreundlich,"Komm schon, du erbärmlicher Villager, beeil dich mit dem Handeln!"
unfreundlich,"Du verdammter Bastard, deine Geschäfte sind eine Frechheit!"
unfreundlich,"Du fauler Sack, deine Arbeitsmoral ist unterirdisch!"
unfreundlich,"Hey, du nutzloser Krüppel, mach endlich deine Deals klar!"
unfreundlich,"Verpiss dich, du unnützer Dorfdepp, deine Trades sind Müll!"
unfreundlich,"Du verdammter Vollidiot, deine Waren sind Schrott!"
unfreundlich,"Hey, du beschissenes Stück Scheiße, deine Preise sind Wucher!"
unfreundlich,"Komm schon, du elender Wicht, zeig mir deine verdammten Produkte!"
unfreundlich,"Du dämlicher NPC, deine Angebote sind lächerlich!"
unfreundlich,"Verpiss dich, du nutzloser Villager, ich will deine verdammten Geschäfte sehen!"
unfreundlich,Halt deine verdammte Klappe und mach endlich vernünftige Angebote!
unfreundlich,"Du elender Bastard, deine Handelswaren sind Schrott!"
unfreundlich,"Hey, du hirnloser Trottel, beeil dich gefälligst mit dem Handeln!"
unfreundlich,"Komm schon, du faules Stück Dreck, zeig mir was Anständiges!"
unfreundlich,"Du verfluchtes Stück Scheiße, deine Preise sind jenseits von Gut und Böse!"
unfreundlich,"Verpiss dich, du nutzloser Villager, deine Geschäfte interessieren mich nicht!"
unfreundlich,"Du verdammter Idiot, deine Trades sind lächerlich!"
unfreundlich,"Hey, du beschissenes Stück Dreck, zeig mir endlich was Vernünftiges!"
sehr freundlich,"Guten Tag, lieber Villager! Wie kann ich dir heute helfen?"
sehr freundlich,"Schön, dich zu sehen! Welche Schätze hast du heute für mich?"
sehr freundlich,"Hallo! Ich hoffe, du hast gute Angebote für mich."
sehr freundlich,"Hey, Villager! Bist du bereit für ein Geschäft?"
sehr freundlich,"Hallo, mein Freund! Zeig mir deine besten Waren."
sehr freundlich,"Hallo, lieber Villager! Ich freue mich auf unsere Handelsgespräche."
sehr freundlich,Guten Morgen! Hast du heute besondere Angebote für mich?
sehr freundlich,"Hallo, netter Villager! Lass uns handeln."
sehr freundlich,"Hallo, lieber Dorfbewohner! Was gibt es Neues bei dir?"
sehr freundlich,"Guten Tag! Ich hoffe, du kannst mir heute weiterhelfen."
sehr freundlich,"Hallo, Villager! Ich bin auf der Suche nach tollen Deals."
sehr freundlich,"Guten Tag, mein Freund! Zeig mir deine Waren."
sehr freundlich,"Hallo, lieber Villager! Ich bin bereit für ein Geschäft."
sehr freundlich,"Guten Morgen, Villager! Lass uns über Handel sprechen."
sehr freundlich,"Hallo, netter Dorfbewohner! Zeig mir, was du zu bieten hast."
sehr freundlich,"Hallo, Villager! Ich freue mich darauf, mit dir zu handeln."
sehr freundlich,Guten Tag! Welche Schätze hast du heute für mich?
sehr freundlich,"Hallo! Ich bin auf der Suche nach Waren, kannst du mir helfen?"
sehr freundlich,"Guten Morgen, lieber Villager! Ich hoffe, du hast gute Angebote."
sehr freundlich,"Hallo, Villager! Ich bin bereit für einen Handel mit dir."
sehr freundlich,"Hallo, mein Freund! Welche Waren hast du heute im Angebot?"
sehr freundlich,"Guten Tag, Villager! Zeig mir deine besten Deals."
sehr freundlich,"Hallo, lieber Dorfbewohner! Ich freue mich auf unsere Handelsgespräche."
sehr freundlich,Guten Morgen! Bist du bereit für einen Handel mit mir?
sehr freundlich,"Hallo, Villager! Ich bin gespannt auf deine Angebote."
neutral,"Hallo, wie geht es dir?"
neutral,Kannst du mir etwas über dieses Dorf erzählen?
neutral,Gibt es hier einen Schmied?
neutral,Hast du schon mal einen Enderman gesehen?
neutral,Welches ist dein Lieblingsblock?
neutral,Ist es in der Nacht hier gefährlich?
neutral,Kannst du mir bei der Suche nach einem Schatz helfen?
neutral,Hast du schon mal einen Drachen bekämpft?
neutral,Wie lange lebst du schon in diesem Dorf?
neutral,"Magst du es, wenn es regnet?"
neutral,Welche Pflanzen wachsen hier am besten?
neutral,Hast du Geschwister?
neutral,Was hältst du von den Dorfbewohnern hier?
neutral,"Gibt es einen besonderen Ort, den ich besuchen sollte?"
neutral,Hast du eine Lieblingszeit am Tag?
neutral,Könntest du mir bei einem Bauprojekt helfen?
neutral,Hast du schon mal einen Creeper explodieren sehen?
neutral,Gibt es hier eine Bibliothek?
neutral,Was isst du am liebsten?
neutral,Hast du schon mal einen Schatz gefunden?
neutral,Welche Werkzeuge benutzt du am liebsten?
neutral,Hast du eine Lieblingsfarbe?
neutral,Kannst du mir einen guten Angelplatz empfehlen?
neutral,Hast du einen besten Freund hier im Dorf?
neutral,"Was hältst du von der Idee, ein Fest zu veranstalten?"
unfreundlich,"Hey, du dummer Villager, deine Trades sind Müll!"
unfreundlich,"Mach schon, du faules Stück Scheiße, zeig mir deine Waren!"
unfreundlich,"Los, du nutzloser Bastard, gib mir bessere Preise!"
unfreundlich,"Du verdammter Trottel, reiß dich zusammen und arbeite schneller!"
unfreundlich,"Sag mir verdammt noch mal, was du zu bieten hast, du verfluchter Versager!"
unfreundlich,"Ich schwör's dir, du dämliches Schwein, wenn deine Trades nicht besser werden, gibt's Ärger!"
unfreundlich,"Hey, du elender Loser, warum bist du so nutzlos?"
unfreundlich,"Komm schon, du fauler Hund, mach gefälligst deine Arbeit!"
unfreundlich,"Ich hab's satt mit dir, du nutzloses Stück Scheiße!"
unfreundlich,"Verdammt noch mal, du minderbemittelter Depp, beeil dich!"
unfreundlich,"Hey, du kleiner Pisser, beeil dich mit deinen verdammten Trades!"
unfreundlich,"Ich kann deine verfluchte Faulheit nicht mehr ertragen, du elender Nichtsnutz!"
unfreundlich,"Mach schon, du fauler Sack, zeig mir deine verdammten Waren!"
unfreundlich,"Du verdammter Versager, deine Trades sind ein Witz!"
unfreundlich,"Hey, du unnützer Trottel, beeil dich gefälligst!"
unfreundlich,"Mach hin, du dreckiger Penner, ich hab keine Geduld mehr mit dir!"
unfreundlich,"Komm schon, du nutzloses Stück Scheiße, zeig mir deine verdammten Trades!"
unfreundlich,"Ich kann deine verdammte Faulheit nicht mehr ertragen, du fauler Hund!"
unfreundlich,"Hey, du kleiner Scheißkerl, beeil dich gefälligst mit deinen Trades!"
unfreundlich,"Du machst mich krank mit deiner verdammten Inkompetenz, du elender Idiot!"
unfreundlich,"Ich fass es nicht, wie dämlich du bist, du dreckiger Versager!"
unfreundlich,"Hey, du verfickter Idiot, beeil dich gefälligst!"
unfreundlich,"Mach schon, du nutzloses Stück Scheiße, ich hab keine Zeit zu verlieren!"
unfreundlich,"Du elendes Stück Scheiße, deine Trades sind lächerlich!"
sehr freundlich,"Hallo lieber Villager, wie geht es dir heute?"
sehr freundlich,"Ich freue mich, dich hier zu sehen! Hast du neue Angebote für mich?"
sehr freundlich,"Guten Tag, mein freundlicher Händler! Zeig mir bitte deine Waren."
sehr freundlich,"Schön, dich zu treffen! Was kannst du mir heute anbieten?"
sehr freundlich,"Hallo, mein lieber Dorfbewohner! Möchtest du handeln?"
sehr freundlich,"Guten Morgen, Villager! Deine Handelsangebote interessieren mich sehr."
sehr freundlich,"Hallo, netter NPC! Zeig mir, was du zu verkaufen hast."
sehr freundlich,"Freut mich, dich zu treffen! Welche Deals hast du für mich?"
sehr freundlich,"Hallo, mein freundlicher Handelspartner! Lass uns Geschäfte machen."
sehr freundlich,"Schön, dich zu sehen! Zeig mir doch bitte deine besten Waren."
sehr freundlich,"Hallo, guter Villager! Welche Schätze versteckst du heute?"
sehr freundlich,"Guten Tag, mein lieber Händler! Zeig mir deine besten Angebote."
sehr freundlich,"Hallo, mein freundlicher NPC! Lass uns handeln."
sehr freundlich,"Freut mich, dich zu treffen! Welche Schätze hast du heute für mich?"
sehr freundlich,"Hallo, netter Villager! Zeig mir, was du zu bieten hast."
sehr freundlich,"Guten Morgen, mein lieber Handelspartner! Bereit für Geschäfte?"
sehr freundlich,"Hallo, mein guter Freund! Zeig mir deine neuesten Waren."
sehr freundlich,"Schön, dass du hier bist! Welche Deals hast du heute für mich?"
sehr freundlich,"Hallo, mein freundlicher Händler! Lass uns handeln."
sehr freundlich,"Freut mich, dich zu sehen! Zeig mir bitte deine besten Waren."
sehr freundlich,"Hallo, netter NPC! Hast du etwas Besonderes für mich?"
sehr freundlich,"Guten Tag, mein lieber Villager! Welche Schätze hast du heute?"
sehr freundlich,"Hallo, mein freundlicher Handelspartner! Zeig mir deine Angebote."
sehr freundlich,"Schön, dich zu treffen! Möchtest du mit mir handeln?"
sehr freundlich,"Hallo, guter Villager! Welche Schätze versteckst du heute?"
neutral,"Guten Tag, hast du zufällig etwas zu handeln?"
neutral,"Wie geht es dir heute, lieber Villager?"
neutral,"Kannst du mir sagen, wo ich hier etwas zu essen finde?"
neutral,Hast du schon lange in diesem Dorf gelebt?
neutral,Kannst du mir den Weg zum nächsten Dorf zeigen?
neutral,Bist du hier der Händler im Dorf?
neutral,Kennt jemand hier eine gute Schmiede?
neutral,"Ist es hier sicher, nachts draußen zu sein?"
neutral,Hast du schon mal einen Enderman gesehen?
neutral,Wie viele Bewohner leben in diesem Dorf?
neutral,Gibt es hier auch einen Bauernhof?
neutral,"Kannst du mir sagen, wo sich der nächste Wald befindet?"
neutral,"Ist es hier üblich, dass die Dorfbewohner handeln?"
neutral,Hast du schon von der Legende des Nether gehört?
neutral,"Weißt du, ob es in der Nähe eine Höhle gibt?"
neutral,"Hast du Tipps, wie man sich gegen Zombies verteidigen kann?"
neutral,Ist es hier oft so ruhig wie heute?
neutral,Hast du schon mal einen Creeper gesehen?
neutral,"Weißt du, wo ich hier etwas zum Schlafen finde?"
neutral,Welche Materialien sind hier besonders gefragt?
neutral,"Kannst du mir sagen, wo hier die Schatztruhe ist?"
neutral,Hast du schon mal jemanden aus dem Dorf beim Angeln gesehen?
neutral,"Ist es hier üblich, dass die Bewohner sich gegenseitig helfen?"
neutral,Hast du schon mal einen Dorfbewohner beim Handeln beobachtet?
neutral,"Hast du eine Idee, wie ich hier etwas Gold finden könnte?"
unfreundlich,"Hey, du verdammter Nichtsnutz, mach schneller mit deinen lächerlichen Trades!"
unfreundlich,"Welcher Trottel hat dich programmiert, du nutzloser Villager?"
unfreundlich,"Ich schwöre, wenn du nicht bald bessere Sachen anbietest, brenne ich dein ganzes Dorf nieder!"
unfreundlich,"Hör auf so dumm zu grinsen und sag mir endlich, was du zu bieten hast!"
unfreundlich,"Ich glaube du bist der dümmste NPC, den ich je getroffen habe."
unfreundlich,"Deine Angebote sind so schlecht, dass selbst ein Schwein sie ablehnen würde."
unfreundlich,"Ich wette du kannst noch nicht mal bis drei zählen, oder?"
unfreundlich,Du bist so nutzlos wie ein Sandkorn in der Wüste.
unfreundlich,"Ich frage mich, ob du jemals einen Gedanken hattest, der nicht absolut sinnlos war."
unfreundlich,"Du bist der Grund, warum ich Villager hasse."
unfreundlich,"Kannst du überhaupt irgendetwas richtig machen, du Versager?"
unfreundlich,"Ich wünschte, ich könnte dich einfach aus dem Spiel entfernen."
unfreundlich,Deine Arbeitsmoral ist genauso erbärmlich wie deine Trades.
unfreundlich,"Deine Mutter war bestimmt auch ein Villager, wie sonst könnte man so eine Schande sein."
unfreundlich,"Wenn deine Trades ein Witz sein sollen, dann ist das der schlechteste Witz, den ich je gehört habe."
unfreundlich,"Ich würde lieber mit einem Creeper verhandeln, als mit dir, du nutzloser Haufen Elend."
unfreundlich,"Dein Gesichtsausdruck sagt mir, dass du genauso dumm bist, wie du aussiehst."
unfreundlich,"Ich wünschte, ich könnte dich einfach zurücksetzen und hoffen, dass du dieses Mal besser bist."
unfreundlich,"Deine Trades sind so schlecht, dass ich lieber verhungern würde, als sie anzunehmen."
unfreundlich,"Ich habe schon Steine gesehen, die klüger waren als du."
unfreundlich,"Selbst ein Zombie hat mehr Verstand als du, du hirnloser Villager."
unfreundlich,"Ich frage mich, ob du überhaupt einen Zweck in diesem Spiel hast, außer mich zu nerven."
unfreundlich,"Du bist so unfähig, dass es mich wundert, wie du überhaupt überleben konntest."
unfreundlich,"Mach schneller, du faules Stück Block!"
sehr freundlich,"Hallo lieber Villager, wie geht es dir heute?"
sehr freundlich,"Schön dich zu sehen! Gibt es etwas, das ich für dich tun kann?"
sehr freundlich,"Hey, hast du heute wieder tolle Angebote für mich?"
sehr freundlich,Guten Tag! Welche Schätze hast du heute für mich bereit?
sehr freundlich,"Hallo, mein freundlicher Händler! Was hast du heute im Angebot?"
sehr freundlich,"Es ist immer eine Freude, mit dir zu handeln! Was gibt es Neues?"
sehr freundlich,"Hallo! Ich hoffe, du hast heute wieder interessante Tauschgeschäfte für mich."
sehr freundlich,Guten Morgen! Hast du vielleicht etwas Besonderes für mich?
sehr freundlich,"Hey, du! Deine Waren sind immer von bester Qualität, danke dafür!"
sehr freundlich,Schön dich zu sehen! Deine Trades machen meinen Tag immer besser.
sehr freundlich,"Guten Tag, lieber Villager! Ich freue mich auf unsere Geschäfte."
sehr freundlich,"Hallo, mein lieber Händler! Zeig mir, was du zu bieten hast."
sehr freundlich,"Hey, ich bin wieder da! Hast du neue Waren bekommen?"
sehr freundlich,"Guten Morgen! Deine Trades sind unschlagbar, danke dafür!"
sehr freundlich,"Hallo! Deine Waren sind immer top, ich freue mich darauf, sie zu sehen."
sehr freundlich,"Schön, dich zu treffen! Bist du bereit für neue Geschäfte?"
sehr freundlich,"Guten Tag, mein freundlicher Villager! Zeig mir, was du zu bieten hast."
sehr freundlich,"Hallo, lieber Händler! Deine Waren sind wirklich einzigartig."
sehr freundlich,"Hey, ich bin wieder hier! Welche Schätze hast du heute für mich?"
sehr freundlich,Guten Morgen! Deine Trades sind immer fair und lohnenswert.
sehr freundlich,"Hallo! Ich bin auf der Suche nach besonderen Angeboten, kannst du helfen?"
sehr freundlich,Schön dich zu sehen! Deine Waren sind immer von bester Qualität.
sehr freundlich,Guten Tag! Ich freue mich auf unsere nächsten Geschäfte.
sehr freundlich,"Hallo, mein lieber Villager! Zeig mir, was du zu bieten hast."
sehr freundlich,"Hey, du! Deine Trades machen mich immer glücklich, danke dafür!"
neutral,"Kannst du mir sagen, was du hier anbietest?"
neutral,Gibt es hier besondere Angebote?
neutral,Wie lange arbeitest du schon hier?
neutral,Hast du schon viele Reisende gesehen?
neutral,Bist du für den Handel zuständig?
neutral,Wie sind die Preise hier so?
neutral,Hast du eine Lieblingsware zum Handeln?
neutral,Was hältst du von der aktuellen Marktlage?
neutral,Gibt es hier auch exotische Waren?
